Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Apr-2015,06:19:19.859,5555 2A55, C,4D,19-Apr-2015,13:34:40.268
20-Apr-2015,06:24:32.236,66CC ADB0, C,E9,19-Apr-2015,13:34:40.268
20-Apr-2015,06:24:34.196,5555 2A55, D,29,19-Apr-2015,13:34:40.268
20-Apr-2015,06:24:36.157,5555 2A55, D,48,19-Apr-2015,13:34:40.268
20-Apr-2015,06:24:38.115,5555 2A55, D,38,19-Apr-2015,13:34:40.268
20-Apr-2015,06:29:09.431,5555 2A00, D,48,19-Apr-2015,13:34:40.268
20-Apr-2015,06:36:55.782,5555 2A55, D,38,19-Apr-2015,13:34:40.268
20-Apr-2015,06:36:57.780,66CC ADB4, E,89,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:31.055,66C8 0000, E,89,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:33.054,66CC ADB4, E,A8,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:35.868,66CC 8000, E,88,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:37.869,66CC ADB4, E,69,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:39.871,66CC ADB4, E,99,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:41.873,66CC ADB4, E,78,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:43.874,66CC ADB4, E,88,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:45.875,66CC ADB4, E,79,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:47.875,66CC ADB4, E,88,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:49.875,66CC ADB4, E,98,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:51.876,66CC ADB4, E,A8,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:53.878,66CC ADB4, E,79,19-Apr-2015,13:34:40.268
20-Apr-2015,06:37:55.878,66CC ADB4, E,98,19-Apr-2015,13:34:40.268
