
$SESSION,1,V,04-Sep-2014,09:12:01.015,ASL/16/3938*19
04-Sep-2014,09:12:01.357,ş€3FEF FD9F 556E
04-Sep-2014,09:41:26.824,şÀ55D9 1723 A37F
04-Sep-2014,09:41:28.787,ş€5555 2A55 CAAC
04-Sep-2014,09:55:49.404,şÀ5555 2A55 D586
04-Sep-2014,10:35:35.481,ş€5555 2A55 C8CF
04-Sep-2014,10:35:37.443,şÀ5555 2A55 C6E6
04-Sep-2014,10:39:00.220,ş€5555 2A55 D193
04-Sep-2014,10:39:10.524,şÀ5145 2A45 C2EC
04-Sep-2014,10:42:09.501,ş€5555 2A55 C8CA
04-Sep-2014,10:42:20.709,şÀ5555 2A55 C7BB
04-Sep-2014,10:42:22.762,ş€5555 2A55 CF94
04-Sep-2014,10:42:24.689,şÀ5550 0000 D48B
04-Sep-2014,10:42:26.649,ş€5555 2A55 CE8D
04-Sep-2014,10:42:30.391,şÀ5555 2A55 C8B2
04-Sep-2014,10:42:43.807,ş€5555 2A55 C6C8
04-Sep-2014,11:19:03.771,şÀ5555 2A55 C8CE
04-Sep-2014,11:26:59.192,ş€5555 2A55 C6CD
04-Sep-2014,11:27:03.117,şÀ5555 2A55 C6D5
04-Sep-2014,11:47:57.639,ş€5555 2A55 CCA4
04-Sep-2014,11:58:43.552,şÀ5555 2A00 CAA3
04-Sep-2014,12:00:57.026,ş€4555 2855 C5DC
04-Sep-2014,12:01:57.239,şÀ5555 2A55 C9CA
04-Sep-2014,12:02:50.312,ş€4555 2255 C1DD
04-Sep-2014,12:02:52.270,şÀ5555 2A55 C6C7
04-Sep-2014,12:15:36.575,ş€1500 0000 C4A5
04-Sep-2014,12:15:53.617,şÀ5555 2A55 C3E5
04-Sep-2014,12:20:15.187,ş€1555 2A54 C4E7
04-Sep-2014,12:20:17.150,şÀ5555 2A55 C9B9
04-Sep-2014,12:49:48.423,ş€5555 2A55 CCA7
04-Sep-2014,12:49:50.382,şÀ5555 2A55 C9B7
04-Sep-2014,12:50:15.407,ş€5500 0000 C999
04-Sep-2014,12:50:26.622,şÀ5555 2A55 D18F
04-Sep-2014,12:51:16.908,ş€5555 2A55 CE94
04-Sep-2014,13:40:02.803,şÀ5555 2A55 D08F
04-Sep-2014,14:11:26.402,ş€5555 2A55 CF98
04-Sep-2014,14:17:20.515,şÀ5555 2A55 D289
04-Sep-2014,14:17:22.476,ş€5555 2A55 C8C3
04-Sep-2014,14:44:14.575,şÀ5555 2A55 D28B
04-Sep-2014,14:44:16.572,ş€5252 5266 C6D4
