Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time,Session_loc,Bird_ID,Home_Location,Sex,Status
20150527,14:05:11.447,334B 2D34,DE,92,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:12.451,334B 2D34,E4,90,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:13.455,334B 2D34,E4,96,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:14.980,334B 554B,DB,93,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:15.452,5566 4B4B,E7,8A,Unit2,20150527,14:05:09.012,RE27,5697,CAVI,F,H
20150527,14:05:15.985,334B 554B,D9,8C,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:16.452,5566 4B4B,DB,8C,Unit2,20150527,14:05:09.012,RE27,5697,CAVI,F,H
20150527,14:05:17.454,334B 554B,D8,8F,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:18.456,334B 554B,D5,87,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:19.328,334B 554B,D7,8D,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:19.458,334B 5533,FA,98,Unit2,20150527,14:05:09.012,RE27,5696,CAVI,F,H
20150527,14:05:20.317,334B 554B,DA,95,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:20.459,334B 5533,E8,8C,Unit2,20150527,14:05:09.012,RE27,5696,CAVI,F,H
20150527,14:05:21.461,334B 554B,D7,91,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:22.289,334B 554B,D9,90,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:23.457,334B 554B,DD,91,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:24.506,334B 554B,DC,89,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:26.515,334B 2D34,E1,87,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:27.520,334B 2D34,E0,8C,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:28.524,334B 2D34,DE,87,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:29.529,334B 2D34,DE,8D,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:30.534,334B 2D34,DE,8C,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:31.538,334B 2D34,DD,87,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:32.542,334B 2D34,DD,8F,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:33.547,334B 2D34,E0,91,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:34.551,334B 2D34,DD,8A,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:35.555,334B 2D34,DC,89,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:35.757,334B 2D34,DD,8D,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:36.560,334B 554B,D5,90,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:36.754,334B 2D34,DC,86,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:37.564,334B 554B,D5,8E,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:37.752,334B 2D34,DA,84,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:38.569,334B 554B,CC,9B,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:38.748,334B 2D34,DD,93,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:39.573,334B 554B,CC,9C,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:40.578,334B 2D34,DB,8A,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:40.751,334B 2D34,DC,88,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:41.098,334B 554B,CF,9A,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:41.582,334B 5533,EB,92,Unit2,20150527,14:05:09.012,RE27,5696,CAVI,F,H
20150527,14:05:41.753,334B 2D34,D8,90,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:42.085,334B 554B,D0,96,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:42.587,334B 5533,E0,98,Unit2,20150527,14:05:09.012,RE27,5696,CAVI,F,H
20150527,14:05:42.756,334B 2D34,DD,86,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:43.591,334B 554B,D1,8E,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:43.758,334B 2D34,DB,8F,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:44.595,334B 554B,D1,95,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:44.760,334B 2D34,DD,92,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:45.600,334B 554B,D1,99,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:45.763,334B 2D34,DC,8B,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:46.605,334B 554B,D0,90,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:46.765,334B 2D34,DE,8C,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:47.609,334B 554B,D1,9B,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:47.767,334B 2D34,DC,91,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:48.613,334B 554B,CF,94,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:48.770,334B 2D34,DD,8D,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:49.618,334B 554B,CF,91,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:49.772,334B 2D34,DD,88,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
20150527,14:05:50.623,334B 554B,D1,96,Unit2,20150527,14:05:09.012,RE27,5481,1600,M,H
20150527,14:05:50.775,334B 2D34,DF,86,Unit2,20150527,14:05:09.012,RE27,5728,BLMP,M,H
