Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Apr-2015,00:04:28.218,C010 D041, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:04:31.158,3016 0C21, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:07:46.718,3046 8220, C,3F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:09:41.287,06A4 0425, C,AF,19-Apr-2015,11:41:07.515
20-Apr-2015,00:17:53.159,1400 02A0, C,3F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:20:23.061,02A0 8810, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:20:29.723,0511 0001, C,6F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:20:40.115,0F81 0A44, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:24:29.693,8611 2223, C,8F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:26:57.271,0431 1101, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:30:15.631,8920 0390, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:30:33.612,0904 2281, C,8F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:32:28.617,1095 220A, C,3F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:33:15.499,9250 0002, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:33:51.850,0004 8050, C,2F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:35:06.061,4204 84C4, C,8F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:39:29.337,C481 0AD4, C,6F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:40:02.076,0040 2080, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:40:33.910,204A 1088, C,2F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:41:37.840,0080 8399, C,7F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:43:37.898,4180 2280, C,3F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:44:11.305,4900 518A, C,7F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:45:57.594,10C1 8008, C,9F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:46:24.025,4A18 0A12, C,6F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:49:32.609,02BB 8B09, C,3F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:51:05.757,2020 4481, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:53:17.194,2442 1CA4, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:54:26.116,0003 0648, C,7F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:55:19.160,1008 0420, C,7F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:55:25.418,0444 0201, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:55:39.752,C000 0100, C,1F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:55:53.614,0840 0481, C,1F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:56:54.201,0429 00A1, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:57:35.036,4482 001C, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:58:08.838,2200 A011, C,8F,19-Apr-2015,11:41:07.515
20-Apr-2015,00:59:06.359,0840 08A8, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,01:01:37.562,1033 A449, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,01:01:48.467,6048 4880, C,4F,19-Apr-2015,11:41:07.515
20-Apr-2015,01:02:35.591,0400 45A0, C,7F,19-Apr-2015,11:41:07.515
20-Apr-2015,01:02:41.060,0802 2170, C,5F,19-Apr-2015,11:41:07.515
20-Apr-2015,01:03:31.083,3C88 0202, C,2F,19-Apr-2015,11:41:07.515
